Year,Wet_EDGAR4.2_min,Wet_EDGAR4.2_mean,Wet_EDGAR4.2_max,Wet_EDGAR4.3.2_min,Wet_EDGAR4.3.2_mean,Wet_EDGAR4.3.2_max,Wet_SCH150_min,Wet_SCH150_mean,Wet_SCH150_max,Wet_GAINS_min,Wet_GAINS_mean,Wet_GAINS_max,Wet_full_ensemble_min,Wet_full_ensemble_mean,Wet_full_ensemble_max
2000,184.3851172,187.4643496,190.568108,178.5864211,181.584742,184.5894211,174.2935787,177.8833044,181.4802199,182.8057046,185.3561746,187.9890909,174.2935787,183.0721426,190.568108
2001,179.8418275,182.1377446,184.4894221,173.5392416,175.7466894,177.9874792,168.9952142,171.8434026,174.7295177,177.7592864,179.3844584,181.1153149,168.9952142,177.2780737,184.4894221
2002,176.6583845,179.9005176,183.2290215,169.3920007,172.4860979,175.645432,164.2025386,168.0621424,171.9941465,173.8222715,176.2705763,178.8512289,164.2025386,174.1798336,183.2290215
2003,185.4811185,187.7335936,190.1430574,178.4751112,180.0185994,181.69855,174.8561034,176.9815437,179.2295154,180.219934,181.4461035,182.7795316,174.8561034,181.5449601,190.1430574
2004,185.4131339,188.6018149,192.0428342,178.1287947,180.3363688,182.7829109,173.4722011,176.470557,179.6958547,177.9966476,180.1828551,182.5785429,173.4722011,181.397899,192.0428342
2005,173.8690616,182.7085606,191.6529379,166.1758146,173.8851973,181.6902633,164.0329598,172.1393073,180.3246293,164.4698217,172.4209804,180.4356847,164.0329598,175.2885114,191.6529379
2006,189.929663,195.4317004,201.0475543,182.362665,186.344679,190.4319852,178.6040488,183.3031744,188.1192906,178.8555025,183.3543758,187.9227846,178.6040488,187.1084824,201.0475543
2007,194.3683703,200.407912,206.5873942,185.8383005,190.2205843,194.7287822,182.1381976,187.2962116,192.5813287,181.8326076,186.8436991,191.9520724,181.8326076,191.1921017,206.5873942
2008,199.7219594,209.756605,219.9363415,190.3114629,198.4020243,206.6425283,185.889791,194.8771857,203.9984648,185.0362671,193.9054443,202.8741872,185.0362671,199.2353148,219.9363415
2009,199.4040139,209.3584773,219.6707138,187.9498375,195.997305,204.3258739,183.9131972,192.7325425,201.8724691,183.2039759,191.9717027,201.0465547,183.2039759,197.5150069,219.6707138
2010,208.3592834,214.4417823,220.8721674,196.6414921,200.5799823,204.853315,189.8862523,194.585547,199.5883797,189.5900766,194.3240489,199.3333594,189.5900766,200.9828401,220.8721674
2011,206.383939,215.3479056,224.3912707,196.4986853,203.6814505,210.9396786,189.8364095,197.5316832,205.2747212,187.5777243,195.5763843,203.6044652,187.5777243,203.0343559,224.3912707
2012,201.2808132,212.1504097,223.0196086,191.2046349,200.1809995,209.1510484,185.0397946,194.1355725,203.1932962,181.1286201,190.6824743,200.1878683,181.1286201,199.287364,223.0196086
2013,211.3549175,218.4164209,225.7466205,200.8680495,205.9921731,211.3778715,194.921062,200.1152006,205.5251193,191.1685339,196.8137129,202.6685418,191.1685339,205.3343768,225.7466205
2014,208.8879556,216.4151406,223.9804103,198.1203455,203.6070446,209.1225035,192.2896737,197.7352375,203.1657651,188.7121378,194.6099884,200.4854833,188.7121378,203.0918528,223.9804103
2015,199.6438857,203.9069626,208.2676315,188.9652495,191.09517,193.3135737,183.0015548,185.0158279,187.0595478,179.5175815,181.9999464,184.5156792,179.5175815,190.5044767,208.2676315
2016,194.4797593,205.8375145,217.2596308,184.0879745,193.3108855,202.590042,178.4031798,187.3968959,196.3886687,174.3873302,183.9148988,193.4499949,174.3873302,192.6150487,217.2596308
2017,218.5698423,224.3432585,230.3287718,208.2485445,211.8281986,215.6093857,202.9397248,206.2048527,209.6113313,198.5470202,202.3699568,206.3533546,198.5470202,211.1865666,230.3287718